what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1310197031852
ws,sysinfo,,,"win32",1310197031852
locale,sysinfo,,,"ko_KR",1310197031852
processors,sysinfo,,,"2",1310197031852
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1310197031852
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1310197031852
java.specification.name,sysinfo,,,"Java Platform API Specification",1310197031852
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310197031852
java.specification.version,sysinfo,,,"1.6",1310197031852
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1310197031852
java.version,sysinfo,,,"1.6.0_24",1310197031852
java.vm.info,sysinfo,,,"mixed mode, sharing",1310197031852
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1310197031852
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1310197031852
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310197031852
java.vm.specification.version,sysinfo,,,"1.0",1310197031852
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1310197031852
java.vm.version,sysinfo,,,"19.1-b02",1310197031852
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1310197032040
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1310197032305
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1310197032321
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1310197032321
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1310197032321
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1310197032321
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1310197032430
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1310197032446
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1310197032446
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1310197032524
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1310197032540
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1310197032555
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1310197032571
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310197033602
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1310197038993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310197041508
