what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310178014633
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310178014821
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310178015930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178037212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178037227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178037321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178040055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178043821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178043837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178043946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178051977
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178054102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178055274
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1310178055555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178057055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178057993
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1310178058024
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310178103055
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310178104852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310178116133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1310178123227
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310178126149
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1310178126305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178127446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1310178127665
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310178127712
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310178128133
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310178129102
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310178129383
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310178131821
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310178133383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1310178135946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310178153977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1310178155930
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310178159618
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1310178160337
